# Sourced from ../TarnishedTool/TarnishedTool/Properties/Resources.resx <data name="Weapons">.
# Format: id,name,wep_type,gem_mount_type,upgrade_type. id = EquipParamWeapon row ID.
# Runtime ID = id + upgrade_level (e.g. Longsword +25 = 2000025). Refresh on patch bumps.
33200000,Academy Glintstone Staff,57,2,0
3070000,Alabaster Lord's Sword,5,0,1
41010000,Albinauric Bow,51,2,0
31040000,Albinauric Shield,67,2,0
33190000,Albinauric Staff,57,2,0
4500000,Ancient Meteoric Ore Greatsword,7,0,1
41510000,Ansbach's Longbow,51,0,1
32220000,Ant's Skull Plate,69,0,1
5040000,Antspur Rapier,15,2,0
12510000,Anvil Hammer,41,0,1
43080000,Arbalest,55,0,0
33130000,Astrologer's Staff,57,2,0
23050000,Axe of Godfrey,41,0,1
15040000,Axe of Godrick,19,0,1
33230000,Azur's Glintstone Staff,57,0,1
64500000,Backhand Blade,92,2,0
7040000,Bandit's Curved Sword,9,2,0
3080000,Banished Knight's Greatsword,5,2,0
18030000,Banished Knight's Halberd,29,2,0
31030000,Banished Knight's Shield,67,2,0
17520000,Barbed Staff-Spear,28,0,1
3000000,Bastard Sword,5,2,0
13030000,Bastard's Stars,24,0,1
14000000,Battle Axe,17,2,0
12020000,Battle Hammer,23,2,0
68500000,Beast Claw,95,2,0
31280000,Beast Crest Heater Shield,67,2,0
12150000,Beastclaw Greathammer,23,0,1
8080000,Beastman's Cleaver,11,2,0
7010000,Beastman's Curved Sword,9,2,0
30060000,Beastman's Jar-Shield,67,2,0
24060000,Beast-Repellent Torch,87,2,0
41070000,Black Bow,51,0,1
1010000,Black Knife,1,0,1
31340000,Black Leather Shield,67,2,0
12520000,Black Steel Greathammer,23,2,0
32500000,Black Steel Greatshield,69,2,0
10510000,Black Steel Twinblade,14,2,0
1160000,Blade of Calling,1,0,1
3140000,Blasphemous Blade,5,0,1
12530000,Bloodfiend's Arm,41,2,0
16540000,Bloodfiend's Fork,25,2,0
16550000,Bloodfiend's Sacred Spear,28,0,1
22020000,Bloodhound Claws,37,2,0
8030000,Bloodhound's Fang,11,0,1
1140000,Bloodstained Dagger,1,2,0
6000000,Bloody Helice,16,0,1
31300000,Blue Crest Heater Shield,67,2,0
31100000,Blue-Gold Kite Shield,67,2,0
30100000,Blue-White Wooden Shield,65,2,0
16090000,Bolt of Gransax,25,0,1
40500000,Bone Bow,50,0,0
15510000,Bonny Butchering Knife,19,0,1
31130000,Brass Shield,67,2,0
32050000,Briar Greatshield,69,2,0
12190000,Brick Hammer,23,2,0
2020000,Broadsword,3,2,0
30000000,Buckler,65,2,0
15120000,Butchering Knife,19,2,0
21000000,Caestus,35,2,0
31250000,Candletree Wooden Shield,67,2,0
2210000,Cane Sword,3,2,0
33170000,Carian Glintblade Staff,57,2,0
33210000,Carian Glintstone Staff,57,2,0
31190000,Carian Knight's Shield,67,2,0
2180000,Carian Knight's Sword,3,0,1
33090000,Carian Regal Scepter,57,0,1
2530000,Carian Sorcery Sword,15,0,0
62510000,Carian Thrusting Shield,90,2,0
14060000,Celebrant's Cleaver,17,2,0
16060000,Celebrant's Rib-Rake,25,2,0
1060000,Celebrant's Sickle,1,2,0
12130000,Celebrant's Skull,23,2,0
13040000,Chainlink Flail,24,2,0
61510000,Chilling Perfume Bottle,89,2,0
1110000,Cinquedea,1,0,1
21130000,Cipher Pata,35,0,1
34040000,Clawmark Seal,61,0,0
22500000,Claws of Night,37,0,1
16030000,Clayman's Harpoon,25,2,0
3180000,Claymore,5,2,0
5010000,Cleanrot Knight's Sword,15,2,0
16040000,Cleanrot Spear,25,0,1
21110000,Clinging Bone,35,0,1
11010000,Club,21,2,0
2110000,Coded Sword,3,0,1
30200000,Coil Shield,65,0,1
18040000,Commander's Standard,29,0,1
40050000,Composite Bow,50,2,0
12170000,Cranial Vessel Candlestand,23,0,1
43110000,Crepus's Black-Key Crossbow,55,0,1
15030000,Crescent Moon Axe,19,2,0
32200000,Crossed-Tree Towershield,69,2,0
16110000,Cross-Naginata,25,2,0
32030000,Crucible Hornshield,69,0,1
1050000,Crystal Knife,1,0,0
16020000,Crystal Spear,25,0,1
33040000,Crystal Staff,57,0,1
2150000,Crystal Sword,3,0,1
32250000,Cuckoo Greatshield,69,2,0
64520000,Curseblade's Cirque,92,0,1
11030000,Curved Club,21,2,0
12080000,Curved Great Club,23,2,0
1000000,Dagger,1,2,0
7520000,Dancing Blade of Ranah,9,0,1
60510000,Dane's Footwork,88,2,0
3090000,Dark Moon Greatsword,5,0,1
61540000,Deadly Poison Perfume Bottle,89,0,1
15500000,Death Knight's Longhaft Axe,19,0,1
14510000,Death Knight's Twin Axes,17,0,1
16120000,Death Ritual Spear,25,0,1
3200000,Death's Poker,5,0,1
33060000,Demi-Human Queen's Staff,57,2,0
23500000,Devonia's Hammer,41,0,1
12200000,Devourer's Scepter,23,0,1
33120000,Digger's Staff,57,2,0
8020000,Dismounter,11,2,0
32020000,Distinguished Greatshield,69,2,0
34080000,Dragon Communion Seal,61,0,1
23060000,Dragon Greatclaw,41,0,1
18140000,Dragon Halberd,29,0,1
6040000,Dragon King's Cragblade,16,0,1
32000000,Dragon Towershield,69,2,0
32040000,Dragonclaw Shield,69,0,1
66510000,Dragon-Hunter's Great Katana,94,0,1
9070000,Dragonscale Blade,13,0,1
60500000,Dryleaf Arts,88,2,0
34500000,Dryleaf Seal,61,0,0
62500000,Dueling Shield,90,2,0
23040000,Duelist Greataxe,41,2,0
32240000,Eclipse Crest Greatshield,69,2,0
31310000,Eclipse Crest Heater Shield,67,2,0
7100000,Eclipse Shotel,9,0,1
10050000,Eleonora's Poleblade,14,0,1
23030000,Envoy's Greathorn,41,0,1
11100000,Envoy's Horn,21,0,1
12160000,Envoy's Long Horn,23,0,1
1150000,Erdsteel Dagger,1,2,0
41030000,Erdtree Bow,51,0,1
42030000,Erdtree Greatbow,53,0,1
32080000,Erdtree Greatshield,69,0,1
34070000,Erdtree Seal,61,0,1
5000000,Estoc,15,2,0
10500000,Euporia,14,0,1
15080000,Executioner's Greataxe,19,2,0
7000000,Falchion,9,2,0
23080000,Fallingstar Beast Jaw,41,0,1
7510000,Falx,9,0,1
13020000,Family Heads,24,0,1
34000000,Finger Seal,61,0,0
32130000,Fingerprint Stone Shield,69,2,0
4520000,Fire Knight's Greatsword,7,2,0
34510000,Fire Knight's Seal,61,0,0
1510000,Fire Knight's Shortsword,1,2,0
61500000,Firespark Perfume Bottle,89,2,0
